"","countyfips","statefip","year","population","anti_racial.max","anti_racial.sum","anti_racial.mean","racial_crime_diff","racial_crime_per_cap","racial_crime_per_1000"
"8165",139,26,2010,263801,1,5,0.796875,4.203125,1.89536809943859e-05,0.0189536809943859
"8166",139,26,2011,263801,1,5,0.796875,4.203125,1.89536809943859e-05,0.0189536809943859
"8167",139,26,2012,263801,1,5,0.796875,4.203125,1.89536809943859e-05,0.0189536809943859
"8168",139,26,2013,263801,1,6,0.796875,5.203125,2.27444171932631e-05,0.0227444171932631
"8169",139,26,2014,263801,1,4,0.796875,3.203125,1.51629447955087e-05,0.0151629447955087
"8170",139,26,2015,263801,1,4,0.796875,3.203125,1.51629447955087e-05,0.0151629447955087
"8171",139,26,2016,263801,0,0,0.796875,-0.796875,0,0
"8172",139,27,2005,129928,1,2,0.571428571428571,1.42857142857143,1.53931408164522e-05,0.0153931408164522
"8173",139,27,2006,129928,1,2,0.571428571428571,1.42857142857143,1.53931408164522e-05,0.0153931408164522
"8174",139,27,2007,129928,1,2,0.571428571428571,1.42857142857143,1.53931408164522e-05,0.0153931408164522
"8175",139,27,2008,129928,1,3,0.571428571428571,2.42857142857143,2.30897112246783e-05,0.0230897112246783
"8176",139,27,2009,129928,1,1,0.571428571428571,0.428571428571429,7.69657040822609e-06,0.00769657040822609
"8177",139,27,2010,129928,1,1,0.571428571428571,0.428571428571429,7.69657040822609e-06,0.00769657040822609
"8178",139,27,2011,129928,0,0,0.571428571428571,-0.571428571428571,0,0
"8179",139,27,2012,129928,0,0,0.571428571428571,-0.571428571428571,0,0
"8180",139,27,2013,129928,0,0,0.571428571428571,-0.571428571428571,0,0
"8181",139,27,2014,129928,1,1,0.571428571428571,0.428571428571429,7.69657040822609e-06,0.00769657040822609
"8182",139,27,2016,129928,0,0,0.571428571428571,-0.571428571428571,0,0
"8183",139,37,2006,40661,0,0,0.8,-0.8,0,0
"8184",139,37,2008,40661,1,1,0.8,0.2,2.45935909102088e-05,0.0245935909102088
"8185",139,37,2009,40661,1,3,0.8,2.2,7.37807727306264e-05,0.0737807727306264
"8186",139,37,2012,40661,1,1,0.8,0.2,2.45935909102088e-05,0.0245935909102088
"8187",139,37,2014,40661,1,2,0.8,1.2,4.91871818204176e-05,0.0491871818204176
"8188",139,37,2015,40661,1,1,0.8,0.2,2.45935909102088e-05,0.0245935909102088
"8189",139,39,2005,124475,0,0,0.383720930232558,-0.383720930232558,0,0
"8190",139,39,2006,124475,1,5,0.383720930232558,4.61627906976744,4.01687085760193e-05,0.0401687085760193
"8191",139,39,2007,124475,1,1,0.383720930232558,0.616279069767442,8.03374171520386e-06,0.00803374171520386
"8192",139,39,2008,124475,1,1,0.383720930232558,0.616279069767442,8.03374171520386e-06,0.00803374171520386
"8193",139,39,2009,124475,1,1,0.383720930232558,0.616279069767442,8.03374171520386e-06,0.00803374171520386
"8194",139,39,2010,124475,1,6,0.383720930232558,5.61627906976744,4.82024502912231e-05,0.0482024502912231
"8195",139,39,2011,124475,1,7,0.383720930232558,6.61627906976744,5.6236192006427e-05,0.056236192006427
"8196",139,39,2012,124475,1,1,0.383720930232558,0.616279069767442,8.03374171520386e-06,0.00803374171520386
"8197",139,39,2013,124475,1,5,0.383720930232558,4.61627906976744,4.01687085760193e-05,0.0401687085760193
"8198",139,39,2014,124475,1,1,0.383720930232558,0.616279069767442,8.03374171520386e-06,0.00803374171520386
"8199",139,39,2015,124475,1,3,0.383720930232558,2.61627906976744,2.41012251456116e-05,0.0241012251456116
"8200",139,39,2016,124475,1,2,0.383720930232558,1.61627906976744,1.60674834304077e-05,0.0160674834304077
"8201",139,40,2015,20640,0,0,0,0,0,0
"8202",139,47,2014,16825,1,1,1,0,5.94353640416048e-05,0.0594353640416048
"8203",139,48,2006,149610,1,1,0.75,0.25,6.68404518414545e-06,0.00668404518414544
"8204",139,48,2008,149610,1,2,0.75,1.25,1.33680903682909e-05,0.0133680903682909
"8205",139,51,2008,24042,1,1,0.333333333333333,0.666666666666667,4.15938773812495e-05,0.0415938773812495
"8206",139,51,2010,24042,1,1,0.333333333333333,0.666666666666667,4.15938773812495e-05,0.0415938773812495
"8207",141,5,2008,17295,1,1,1,0,5.78201792425557e-05,0.0578201792425556
"8208",141,5,2013,17295,1,1,1,0,5.78201792425557e-05,0.0578201792425556
"8209",141,18,2005,266931,1,2,0.625,1.375,7.49257298702661e-06,0.00749257298702661
"8210",141,18,2008,266931,1,5,0.625,4.375,1.87314324675665e-05,0.0187314324675665
"8211",141,18,2009,266931,1,3,0.625,2.375,1.12388594805399e-05,0.0112388594805399
"8212",141,18,2011,266931,1,3,0.625,2.375,1.12388594805399e-05,0.0112388594805399
"8213",141,18,2012,266931,1,1,0.625,0.375,3.7462864935133e-06,0.00374628649351331
"8214",141,18,2013,266931,0,0,0.625,-0.625,0,0
"8215",141,18,2015,266931,1,4,0.625,3.375,1.49851459740532e-05,0.0149851459740532
"8216",141,18,2016,266931,1,7,0.625,6.375,2.62240054545931e-05,0.0262240054545931
"8217",141,21,2013,26835,1,1,0.666666666666667,0.333333333333333,3.72647661635923e-05,0.0372647661635923
"8218",141,21,2014,26835,1,1,0.666666666666667,0.333333333333333,3.72647661635923e-05,0.0372647661635923
"8219",141,26,2010,13376,0,0,0.5,-0.5,0,0
"8220",141,26,2011,13376,1,1,0.5,0.5,7.47607655502392e-05,0.0747607655502392
"8221",141,27,2005,88499,1,4,0.68,3.32,4.5198250827693e-05,0.045198250827693
"8222",141,27,2006,88499,0,0,0.68,-0.68,0,0
"8223",141,27,2007,88499,1,5,0.68,4.32,5.64978135346162e-05,0.0564978135346162
"8224",141,27,2008,88499,1,1,0.68,0.32,1.12995627069232e-05,0.0112995627069232
"8225",141,27,2009,88499,1,3,0.68,2.32,3.38986881207697e-05,0.0338986881207697
"8226",141,27,2010,88499,1,1,0.68,0.32,1.12995627069232e-05,0.0112995627069232
"8227",141,27,2011,88499,1,1,0.68,0.32,1.12995627069232e-05,0.0112995627069232
"8228",141,27,2012,88499,1,1,0.68,0.32,1.12995627069232e-05,0.0112995627069232
"8229",141,27,2013,88499,1,1,0.68,0.32,1.12995627069232e-05,0.0112995627069232
"8230",141,39,2006,78064,0,0,0.408163265306122,-0.408163265306122,0,0
"8231",141,39,2007,78064,1,1,0.408163265306122,0.591836734693878,1.28100020496003e-05,0.0128100020496003
"8232",141,39,2008,78064,1,3,0.408163265306122,2.59183673469388,3.8430006148801e-05,0.038430006148801
"8233",141,39,2009,78064,1,10,0.408163265306122,9.59183673469388,0.000128100020496003,0.128100020496003
"8234",141,39,2010,78064,1,2,0.408163265306122,1.59183673469388,2.56200040992007e-05,0.0256200040992007
"8235",141,39,2011,78064,1,1,0.408163265306122,0.591836734693878,1.28100020496003e-05,0.0128100020496003
"8236",141,39,2013,78064,1,1,0.408163265306122,0.591836734693878,1.28100020496003e-05,0.0128100020496003
"8237",141,39,2014,78064,0,0,0.408163265306122,-0.408163265306122,0,0
"8238",141,39,2015,78064,1,1,0.408163265306122,0.591836734693878,1.28100020496003e-05,0.0128100020496003
"8239",141,39,2016,78064,1,1,0.408163265306122,0.591836734693878,1.28100020496003e-05,0.0128100020496003
"8240",141,40,2011,7992,1,1,0.5,0.5,0.000125125125125125,0.125125125125125
"8241",141,40,2014,7992,0,0,0.5,-0.5,0,0
"8242",141,47,2005,72321,1,3,0.607142857142857,2.39285714285714,4.14817272991247e-05,0.0414817272991247
